File_name,Frame_rate,Duration (ms),Frame_count,Intensity,Energy,Zero_crossing_rate,Root Mean Square,Spectral Centroid,Spectral Bandwidth,MFCC,Max_frequency,Min_frequency
subsample/L_I1.wav,100000,1500,150000.0,-20.927292716731948,0.00818249484038407,0.005615091015854374,0.08696313,1134.0507611759217,2240.2561921531887,-4.6707745,0.23412982,-0.08384505
subsample/L_II1.wav,100000,4500,450000.0,-11.394704417997154,0.07346519018487024,0.003548732981821044,0.26264337,602.9390661085781,1656.8630141585047,0.736985,0.6145174,-0.5287494
subsample/L_III.wav,100000,7885,788500.0,-9.51833694580656,0.11315950054640095,0.0049085092052088015,0.3262163,758.6196666633334,1847.6127367602312,0.95509535,0.8532775,-0.74879014
subsample/M_I2.wav,100000,1500,150000.0,-20.927292716731948,0.00818249484038407,0.005615091015854374,0.08696313,1134.0507611759217,2240.2561921531887,-4.6707745,0.23412982,-0.08384505
subsample/M_II2.wav,100000,3600,360000.0,-11.329009618655297,0.0745849609375,0.003448614417908249,0.26278883,594.7788226421756,1644.0623050040178,0.7645802,0.6145174,-0.5287494
subsample/M_IV1.wav,100000,7027,702700.0,-10.026992268801946,0.10063939614446324,0.005358312548812133,0.30596328,805.4741609653457,1906.766607554719,0.7766418,0.8532774,-0.7487901
subsample/M_II3.wav,100000,7027,702700.0,-9.095797219714065,0.12470875690159798,0.003259390824578641,0.34943917,538.9345858412827,1608.6107313131429,1.1193211,0.6887763,-0.54085076
subsample/M_IV2.wav,100000,7027,702700.0,-11.395688710551674,0.07343984330629703,0.004889086236867962,0.26787466,672.6293191076466,1752.0049594516518,1.322955,0.5742528,-0.46050966
subsample/M_II4.wav,100000,7027,702700.0,-17.053842065562876,0.019956613980132595,0.031201975159347996,0.11655795,1472.0755982143203,2462.864628921479,-2.321283,0.7490222,-0.5855811
subsample/M_IV3.wav,100000,2527,252700.0,-15.899197330193326,0.026035522366735613,0.013354401568737307,0.15606458,1129.3783221280578,2161.892936560415,1.74344,0.5230411,-0.38992754
subsample/M_V.wav,100000,5220,522000.0,-12.075195524117133,0.0627995246430309,0.012338846480067854,0.2239893,1007.3080763218089,2051.142112133621,1.2940551,0.8896331,-0.7585524
