Sr. no.,Filename,L end time,Meander end time,Start,end time
1,WKZ_150600_207003_1.dxd,46000000,1:41200000,"19,500","01:42,480"
2,WKZ_150600_207005_24.dxd,09:41000000,10:35800000,"09:15,470","10:37,012"
3,WKZ_150600_207005_25.dxd,22:47400000,23:41800000,"22:21,794","23:43,456"
4,WKZ_150600_207011_0m Metallographie.dxd,52200000,01:47600000,"24,988","01:47,874"
5,WKZ_150600_207011_1.dxd,01:06400000,02:01800000,"39,952","02:02,116"
6,WKZ_150600_207011_10.dxd,"47,000,000",01:43400000,"22,128","01:43,790"
7,WKZ_150600_207011_11.dxd,44800000,01:41400000,"19,874","01:41,656"
8,WKZ_150600_207011_12.dxd,44800000,01:41800000,"20,292","01:42,018"
9,WKZ_150600_207011_13.dxd,04:44400000,05:39800000,"04:17,982","05:40,036"
10,WKZ_150600_207011_14.dxd,05:29200000,06:25000000,"05:03,338","06:25,278"
11,WKZ_150600_207011_15.dxd,42800000,01:38200000,"16,636","01:38,424"
12,WKZ_150600_207011_16.dxd,37600000,01:34000000,"12,278","01:34,322"
13,WKZ_150600_207011_17.dxd,35000000,01:31400000,"9,726","01:31,612"
14,WKZ_150600_207011_18.dxd,41000000,01:36200000,"14,626","01:36,504"
15,WKZ_150600_207011_19.dxd,38600000,01:34200000,"12,942","01:34,762"
16,WKZ_150600_207011_2.dxd,54600000,01:50400000,"28,618","01:50,662"
17,WKZ_150600_207011_20.dxd,49800000,01:44400000,"23,074","01:44,960"
18,WKZ_150600_207011_21.dxd,38000000,01:33600000,"12,046","01:33,978"
19,WKZ_150600_207011_22.dxd,41400000,01:36400000,"14,666","01:36,640"
20,WKZ_150600_207011_23.dxd,38400000,01:34000000,"12,398","01:34,290"
21,WKZ_150600_207011_24.dxd,48400000,01:44000000,"22,448","01:44,268"
22,WKZ_150600_207011_25.dxd,05:51800000,06:48400000,"05:27,008","06:48,694"
23,WKZ_150600_207011_26_Metallographie.dxd,34400000,01:28800000,"7,294","01:29,242"
24,WKZ_150600_207011_3.dxd,03:27200000,04:23400000,"03:01,970","04:23,926"
25,WKZ_150600_207011_4.dxd,56400000,01:52600000,"30,852","01:52,946"
26,WKZ_150600_207011_5.dxd,5360000,01:49800000,"28,110","01:50,156"
27,WKZ_150600_207011_6.dxd,01:34200000,02:29200000,"01:07,636","02:29,528"
28,WKZ_150600_207011_7.dxd,45200000,01:41400000,"19,924","01:41,762"
29,WKZ_150600_207011_8.dxd,07:00200000,07:55800000,"06:34,328","07:56,182"
30,WKZ_150600_207011_9.dxd,01:07200000,02:04200000,"42,582","02:04,482"
